symbol,date,open,high,low,close,volume,market,close_ratio,spread
ETH,2015-08-07,2.83,3.54,2.52,2.77,164329.0,166610555.0,0.2451,1.02
ETH,2015-08-08,2.79,2.8,0.714725,0.753325,674188.0,45486894.0,0.0185,2.09
ETH,2015-08-09,0.706136,0.87981,0.629191,0.701897,532170.0,42399573.0,0.2901,0.25
ETH,2015-08-10,0.713989,0.729854,0.6365460000000001,0.708448,405283.0,42818364.0,0.7706,0.09
ETH,2015-08-11,0.708087,1.13,0.663235,1.07,1463100.0,64569288.0,0.8715,0.47
ETH,2015-08-12,1.06,1.29,0.883608,1.22,2150620.0,73645011.0,0.8278,0.41
ETH,2015-08-13,1.22,1.97,1.17,1.83,4068680.0,110607192.0,0.825,0.8
ETH,2015-08-14,1.81,2.26,1.75,1.83,4637030.0,110672322.0,0.1569,0.51
ETH,2015-08-15,1.8,1.88,1.57,1.69,2554360.0,102303608.0,0.3871,0.31
ETH,2015-08-16,1.68,1.7,1.09,1.57,3550790.0,94901005.0,0.7869,0.61
ETH,2015-08-17,1.58,1.58,1.19,1.2,1942830.0,87295367.0,0.0256,0.39
ETH,2015-08-18,1.22,1.33,1.09,1.09,1485680.0,78868413.0,0.0,0.24
ETH,2015-08-19,1.17,1.32,1.17,1.26,1486240.0,91366391.0,0.6,0.15
ETH,2015-08-20,1.25,1.53,1.25,1.46,2843760.0,106351420.0,0.75,0.28
ETH,2015-08-21,1.48,1.56,1.35,1.4,2020970.0,101331856.0,0.2381,0.21
ETH,2015-08-22,1.4,1.48,1.35,1.38,948310.0,100201826.0,0.2308,0.13
ETH,2015-08-23,1.38,1.41,1.3,1.35,1589300.0,98300351.0,0.4545,0.11
ETH,2015-08-24,1.35,1.36,1.23,1.23,924920.0,89515257.0,0.0,0.13
ETH,2015-08-25,1.23,1.24,1.13,1.14,1307180.0,82922633.0,0.0909,0.11
ETH,2015-08-26,1.13,1.2,1.06,1.16,1056750.0,84390924.0,0.7143,0.14
ETH,2015-08-27,1.17,1.19,1.14,1.15,686662.0,83524585.0,0.2,0.05
ETH,2015-08-28,1.15,1.21,1.12,1.19,721872.0,86731077.0,0.7778,0.09
ETH,2015-08-29,1.19,1.21,1.15,1.18,375377.0,86113895.0,0.5,0.06
ETH,2015-08-30,1.18,1.37,1.17,1.32,1337650.0,96097349.0,0.75,0.2
ETH,2015-08-31,1.32,1.4,1.2,1.36,1447180.0,98963975.0,0.8,0.2
ETH,2015-09-01,1.35,1.39,1.34,1.35,778862.0,98507500.0,0.2,0.05
ETH,2015-09-02,1.35,1.35,1.26,1.29,883769.0,94389544.0,0.3333,0.09
ETH,2015-09-03,1.3,1.31,1.21,1.26,702991.0,92234142.0,0.5,0.1
ETH,2015-09-04,1.26,1.3,1.24,1.27,474391.0,92953701.0,0.5,0.06
ETH,2015-09-05,1.28,1.34,1.27,1.34,448453.0,97683883.0,1.0,0.07
ETH,2015-09-06,1.34,1.37,1.29,1.3,491968.0,94580164.0,0.125,0.08
ETH,2015-09-07,1.3,1.31,1.24,1.25,489014.0,91020735.0,0.1429,0.07
ETH,2015-09-08,1.25,1.28,1.23,1.24,427892.0,90743242.0,0.2,0.05
ETH,2015-09-09,1.24,1.26,1.2,1.21,366748.0,88150125.0,0.1667,0.06
ETH,2015-09-10,1.21,1.22,1.14,1.17,662782.0,85202732.0,0.375,0.08
ETH,2015-09-11,1.16,1.17,0.940675,0.982978,1942600.0,71868265.0,0.1845,0.23
ETH,2015-09-12,0.9872280000000001,1.11,0.96978,1.04,772430.0,75971273.0,0.5008,0.14
ETH,2015-09-13,1.04,1.04,0.902832,0.936003,644138.0,68480587.0,0.2418,0.14
ETH,2015-09-14,0.940566,0.9493870000000001,0.8717600000000001,0.8756219999999999,741085.0,64084135.0,0.0498,0.08
ETH,2015-09-15,0.875189,1.05,0.875189,0.9444100000000001,703390.0,69141409.0,0.396,0.17
ETH,2015-09-16,0.9419770000000001,0.9526979999999999,0.901639,0.907175,615593.0,66437873.0,0.1084,0.05
ETH,2015-09-17,0.9068649999999999,0.9092040000000001,0.831132,0.874231,897940.0,64046216.0,0.552,0.08
ETH,2015-09-18,0.874574,0.8881020000000001,0.833908,0.853685,484622.0,62561883.0,0.3649,0.05
ETH,2015-09-19,0.8496030000000001,0.911883,0.833784,0.882391,386988.0,64687992.0,0.6224,0.08
ETH,2015-09-20,0.881191,0.947741,0.8732049999999999,0.9384450000000001,508314.0,68822183.0,0.8753,0.07
ETH,2015-09-21,0.9414959999999999,0.957326,0.878301,0.919047,424039.0,67422915.0,0.5156,0.08
ETH,2015-09-22,0.9193370000000001,0.9193370000000001,0.865225,0.9017959999999999,487914.0,66180153.0,0.6758,0.05
ETH,2015-09-23,0.90356,0.90891,0.885136,0.8934059999999999,200541.0,65587499.0,0.3479,0.02
ETH,2015-09-24,0.8967959999999999,0.9085709999999999,0.79346,0.81361,842505.0,59749888.0,0.175,0.12
ETH,2015-09-25,0.820031,0.825665,0.712745,0.736223,903457.0,54085581.0,0.2079,0.11
ETH,2015-09-26,0.73763,0.7875439999999999,0.709328,0.785964,369620.0,57759115.0,0.9798,0.08
ETH,2015-09-27,0.791277,0.791277,0.719169,0.720839,413801.0,52990396.0,0.0232,0.07
ETH,2015-09-28,0.723715,0.725677,0.557062,0.582886,1320890.0,42863006.0,0.1532,0.17
ETH,2015-09-29,0.579414,0.67583,0.558346,0.661146,913992.0,48633259.0,0.875,0.12
ETH,2015-09-30,0.661192,0.746722,0.635861,0.738644,619926.0,54351468.0,0.9271,0.11
ETH,2015-10-01,0.7343069999999999,0.7343069999999999,0.655906,0.6902149999999999,596084.0,50805919.0,0.4376,0.08
ETH,2015-10-02,0.683732,0.69112,0.654605,0.678574,219318.0,49966502.0,0.6564,0.04
ETH,2015-10-03,0.678783,0.709204,0.6754819999999999,0.687171,163326.0,50616972.0,0.3466,0.03
ETH,2015-10-04,0.686343,0.693126,0.660716,0.668379,103497.0,49249083.0,0.2364,0.03
ETH,2015-10-05,0.666784,0.674438,0.62445,0.6286430000000001,234263.0,46336892.0,0.0839,0.05
ETH,2015-10-06,0.622218,0.653944,0.60623,0.650645,262674.0,47974298.0,0.9309,0.05
ETH,2015-10-07,0.650515,0.656301,0.6024229999999999,0.609388,218327.0,44947527.0,0.1293,0.05
ETH,2015-10-08,0.6095010000000001,0.633138,0.591971,0.6217159999999999,310266.0,45872837.0,0.7225,0.04
ETH,2015-10-09,0.655084,0.692296,0.632116,0.650628,386420.0,48022036.0,0.3076,0.06
ETH,2015-10-10,0.641187,0.649022,0.624374,0.627857,141555.0,46356711.0,0.1413,0.02
ETH,2015-10-11,0.6274609999999999,0.639506,0.6183350000000001,0.634963,102128.0,46897253.0,0.7854,0.02
ETH,2015-10-12,0.6345149999999999,0.6577890000000001,0.62603,0.62603,109567.0,46253823.0,0.0,0.03
ETH,2015-10-13,0.627943,0.6302399999999999,0.599214,0.6076550000000001,303044.0,44911718.0,0.2721,0.03
ETH,2015-10-14,0.61224,0.61224,0.48397399999999996,0.522968,971664.0,38665409.0,0.304,0.13
ETH,2015-10-15,0.523278,0.5727140000000001,0.51473,0.561878,371022.0,41556025.0,0.8131,0.06
ETH,2015-10-16,0.562593,0.568861,0.522533,0.5364949999999999,249891.0,39691829.0,0.3014,0.05
ETH,2015-10-17,0.534117,0.5634600000000001,0.526961,0.5471779999999999,313860.0,40496031.0,0.5539,0.04
ETH,2015-10-18,0.547913,0.552234,0.512861,0.517734,133690.0,38329702.0,0.1238,0.04
ETH,2015-10-19,0.517621,0.521546,0.480994,0.48901400000000006,243742.0,36215624.0,0.1978,0.04
ETH,2015-10-20,0.489629,0.501898,0.431648,0.434829,383921.0,32213626.0,0.0453,0.07
ETH,2015-10-21,0.43158900000000006,0.48298800000000003,0.420897,0.447329,609085.0,33150826.0,0.4257,0.06
ETH,2015-10-22,0.444988,0.619466,0.420991,0.567702,924822.0,42085192.0,0.7392,0.2
ETH,2015-10-23,0.5663699999999999,0.611743,0.5042840000000001,0.5396569999999999,878822.0,40020348.0,0.3292,0.11
ETH,2015-10-24,0.5396810000000001,0.577396,0.518688,0.5635899999999999,258356.0,41809764.0,0.7648,0.06
ETH,2015-10-25,0.563207,0.688192,0.561383,0.616039,635384.0,45716387.0,0.431,0.13
ETH,2015-10-26,0.619743,0.757517,0.5970979999999999,0.731317,1089120.0,54289124.0,0.8367,0.16
ETH,2015-10-27,0.7088899999999999,0.898172,0.7088899999999999,0.869641,1846370.0,64580263.0,0.8493,0.19
ETH,2015-10-28,0.8709379999999999,1.06,0.8078569999999999,1.0,2373050.0,74469864.0,0.762,0.25
ETH,2015-10-29,1.01,1.21,0.9473739999999999,1.21,2279240.0,89668667.0,1.0,0.26
ETH,2015-10-30,1.21,1.35,0.96816,1.04,2429200.0,77401817.0,0.1881,0.38
ETH,2015-10-31,1.05,1.06,0.9001709999999999,0.9166270000000001,673892.0,68163368.0,0.10300000000000001,0.16
ETH,2015-11-01,0.920847,1.08,0.8990819999999999,1.06,588913.0,78530263.0,0.8895,0.18
